time,open,close,high,low,Volume
1632182100,4703200,4704300,4705400,4703200,0.06500657
1632182160,4705800,4693900,4705800,4693900,0.2946938
1632182220,4696700,4692700,4697600,4692700,0.11
1632182280,4687100,4687100,4687100,4687100,0.005
1632182340,4695821.233,4708300,4708300,4695821.233,0.06633206
1632182400,4707900,4708600,4708600,4707700,0.01007597
1632182460,4705702.04,4694600,4705702.04,4694600,1.80331469
1632182520,4698300,4697900,4701700,4695500,0.66535852
1632182580,4691100,4699100,4699100,4690300,0.23824836
1632182640,4699339.195,4686200,4699339.2,4686200,0.23036961
1632182700,4686100,4677900,4686100,4677900,0.02989052
1632182760,4677900,4673100,4677900,4673100,0.246363
1632182820,4673200,4668900,4673200,4668900,0.41222896
1632182880,4668843.42,4665600,4668843.42,4663300,0.76912997
1632182940,4663200,4657005.872,4663200,4657005.872,2.60921301
1632183000,4657100,4657005.872,4666900,4657005.872,0.76187648
1632183060,4657005.872,4635600,4657005.87,4633900,3.00562398
1632183120,4634200,4632700,4646600,4626400,2.02906429
1632183180,4630568.448,4598000,4631600,4598000,3.73911247
1632183240,4599300,4600200,4613900,4588500,3.06286383
1632183300,4609450.78,4629300,4629800,4604400,4.04207062
1632183360,4629200,4624700,4637800,4619200,1.2239841
1632183420,4629300,4625100,4635800,4625100,1.16545886
1632183480,4619100,4601500,4619300,4592400,1.33665636
1632183540,4598700,4527715.557,4598700,4519000,1.74545667
1632183600,4527824.975,4514475.983,4553100,4513710.057,3.99890918
1632183660,4514475.983,4464281.922,4514475.98,4461800,8.88555194
1632183720,4460900,4436994.236,4467785.12,4407000,7.78906292
1632183780,4437700,4422900.364,4486600,4416988.713,10.44218911
1632183840,4422790.889,4441900,4452700,4417864.513,9.97082906
1632183900,4440600,4440000,4444466.94,4420900,6.04118818
1632183960,4440000,4469098.823,4472200,4440000,8.21799328
1632184020,4468800,4485200,4487800,4464064.582,6.0764323
1632184080,4487900,4510774.883,4516720.46,4487900,4.81797341
1632184140,4503800,4493073.853,4506500,4489700,2.17418878
1632184200,4489500,4484800,4490600,4469865.148,2.6989731
1632184260,4487271.677,4500352.826,4500352.83,4482200,0.90951631
1632184320,4501400,4509900,4512900,4495600,1.58044806
1632184380,4514800,4504200,4515500,4502300,1.5612368
1632184440,4503300,4489000,4511700,4489000,1.40125696
1632184500,4488966.18,4557000,4559200,4481600,3.1613656
1632184560,4552400,4554600,4557600,4541100,3.05735079
1632184620,4555600,4582317.04,4585500,4551217.033,2.17838062
1632184680,4583500,4576500,4584800,4572000,0.37028366
1632184740,4577700,4576900,4582700,4576900,0.44720145
1632184800,4574749.31,4574694.485,4583900,4573380.642,1.09011464
1632184860,4575200,4585609.292,4587472.02,4571000,1.47263009
1632184920,4587500,4596300,4611700,4585700,2.16219859
